C	10	0.1	100	0.02	0.3	100
C+	11	0.1	99	0.04	0.4	120
CC	12	0.1	98	0.06	0.5	144
CC+	13	0.1	97	0.08	0.6	173
CCC	14	0.1	96	0.10	0.7	207
CCC+	15	0.2	95	0.12	0.8	249
B	16	0.2	94	0.14	0.9	299
B+	17	0.2	93	0.16	1	358
BB	19	0.3	92	0.18	1.1	430
BB+	21	0.3	91	0.20	1.2	516
BBB	24	0.4	90	0.22	1.3	619
BBB+	27	0.5	89	0.24	1.4	743
A	30	0.6	88	0.26	1.5	892
A+	34	0.7	87	0.28	1.7	1070
AA	39	0.8	86	0.30	1.9	1284
AA+	45	1	85	0.32	2.3	1541
AAA	52	1.2	84	0.34	2.6	1849
AAA+	61	1.5	83	0.36	3	2219
S	70	1.8	82	0.38	3.5	2662
S+	82	2.2	81	0.40	4.1	3195
SS	97	2.8	80	0.42	4.9	3834
SS+	116	3.4	79	0.44	5.8	4601
SSS	138	4.3	78	0.46	6.9	5521
SSS+	164	5.3	77	0.48	8.2	6625
R	195	6.7	76	0.50	9.7	7950
R+	238	8.4	75	0.52	11.9	9540
RR	290	10.6	74	0.54	14.5	11448
RR+	354	13.7	73	0.56	17.7	13737
RRR	442	17.7	72	0.58	22.1	16484
RRR+	553	23.7	71	0.60	27.7	19781
